기간,자치구,합계,합계,합계,자연공원(국립),자연공원(국립),자연공원(국립),도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,기타공원,기타공원,기타공원
기간,자치구,합계,합계,합계,자연공원(국립),자연공원(국립),자연공원(국립),소계,소계,소계,도시자연공원구역,도시자연공원구역,도시자연공원구역,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,기타공원,기타공원,기타공원
기간,자치구,합계,합계,합계,자연공원(국립),자연공원(국립),자연공원(국립),소계,소계,소계,도시자연공원구역,도시자연공원구역,도시자연공원구역,근린공원,근린공원,근린공원,어린이공원,어린이공원,소공원,소공원,묘지공원,묘지공원,문화공원,문화공원,체육공원,체육공원,역사공원,역사공원,수변공원,수변공원,생태공원,생태공원,가로공원,가로공원,기타공원,기타공원,기타공원
기간,자치구,공원수,(중복),면적,공원수,(중복),면적,공원수,(중복),면적,공원수,(중복),면적,공원수,(중복),면적,공원수,면적,공원수,면적,공원수,면적,공원수,면적,공원수,면적,공원수,면적,공원수,면적,공원수,면적,공원수,면적,공원수,(중복),면적
2020,합계,"2,939",53,"172,317.4",1,5,"37,345.0","2,291",45,"118,940.4",68,20,"69,222.5",419,25,"43,179.6","1,257","2,187.7",426,643.4,4,"1,899.8",64,808.9,6,183.2,22,509,14,227.2,1,51.1,10,27.9,647,3,"16,032.0"
2020,종로구,105,5,"11,402.6",-,1,"4,998.0",69,4,"6,280.7",3,2,"3,316.0",23,2,"2,765.1",20,55,16,21.9,-,-,3,9.6,-,-,4,113,-,-,-,-,-,-,36,-,123.9
2020,중구,75,3,"3,163.8",-,-,-,61,3,"3,091.3",1,1,"1,791.0",6,2,"1,171.7",16,31.6,29,27.1,-,-,3,5.8,1,29.7,5,34.4,-,-,-,-,-,-,14,-,72.5
2020,용산구,108,3,"1,777.1",-,-,-,69,3,760.6,-,1,54.9,7,2,555.2,23,41.3,28,48.7,-,-,6,39.5,-,-,3,17.5,-,-,-,-,2,3.5,39,-,"1,016.4"
2020,성동구,87,1,"3,074.0",-,-,-,65,1,"1,231.0",1,-,72.6,10,1,983.9,32,55.8,16,16.6,-,-,2,90.4,1,2.8,-,-,-,-,-,-,3,8.8,22,-,"1,843.0"
2020,광진구,63,2,"3,451.0",-,-,-,46,1,"2,985.3",1,-,"2,097.5",1,1,837.7,35,39,9,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,1,465.8
2020,동대문구,96,2,"1,219.2",-,-,-,80,2,978.1,1,1,96.5,11,1,750,38,69.7,26,49.5,-,-,1,2.7,-,-,1,3.9,-,-,-,-,2,5.8,16,-,241.1
