자치구,1분기 매출액,1분기 점포수,2분기 매출액,2분기 점포수,3분기 매출액,3분기 점포수,4분기 매출액,4분기 점포수,매출액 합계
강남구,1.13604E+11,1809,1.07881E+11,1853,1.25428E+11,1918,1.32369E+11,2061,4.79282E+11
강동구,9224812546,386,9031650300,386,10294823015,386,9998048032,386,38549333893
강북구,3500906179,164,3668611573,169,4524337362,174,6818025340,173,18511880454
강서구,5794369824,262,5981108057,260,6450102425,265,6203404622,273,24428984928
관악구,15169959429,404,15771574408,422,16384591103,439,16960829820,442,64286954760
광진구,12822202192,328,13013041468,317,14380854908,346,19480069388,358,59696167956
구로구,10176517618,297,9951714076,298,11930187291,310,11619539334,308,43677958319
금천구,9055059009,270,8683088734,281,10377695311,283,10697724565,286,38813567619
노원구,6539439792,135,6649925810,142,8728804868,144,12457712461,156,34375882931
도봉구,3326141489,142,3120658547,141,3863502835,150,4022966705,155,14333269576
동대문구,10429113101,314,11062855547,316,12608197715,328,12297496235,333,46397662598
동작구,15520937912,382,14565687908,386,17729694430,387,16232992117,391,64049312367
마포구,56821307176,1146,55507290367,1176,61881897024,1195,63061073260,1214,2.37272E+11
서대문구,3024334310,120,2977923132,126,3503719820,133,3407229485,143,12913206747
서초구,30139113509,674,28727356860,673,32273076772,695,32780927197,738,1.2392E+11
성동구,6026101516,264,6589639417,272,9277195497,291,9430710366,303,31323646796
성북구,10044283161,297,10046917250,304,10444106026,311,14409163942,325,44944470379
송파구,25327734994,477,23477415296,494,28616420632,505,34048664312,522,1.1147E+11
양천구,2279045881,157,2340087190,162,2796817895,168,2259788704,175,9675739670
영등포구,24623486232,504,24925818736,522,26699893568,538,39935384245,545,1.16185E+11
용산구,23809638945,546,24101397405,561,26411346489,568,29859107361,577,1.04181E+11
은평구,8661027736,292,8267282948,294,9254206105,304,9676202110,299,35858718899
종로구,50676217977,946,48557770038,969,56929624801,1003,54341089059,1006,2.10505E+11
중구,63523788361,1026,65536248500,1059,72213469795,1092,77555995022,1097,2.7883E+11
중랑구,2691155642,150,2664864896,150,3155839782,160,2882465156,171,11394325476
