,1분기 매출액,1분기 점포수,2분기 매출액,2분기 점포수,3분기 매출액,3분기 점포수,4분기 매출액,4분기 점포수,매출액 합계
강남구,98906968357,1860,98782500413,1828,94503710803,1846,87512526793,2040,379705706366
강동구,10547035569,452,9912085901,452,9473153925,452,7687079096,452,37619354491
강북구,9192785870,253,23116097333,544,5543341008,201,5724703758,210,43576927969
강서구,7724930619,355,8381801481,317,6149399871,282,4908522512,290,27164654483
관악구,18378390590,479,19875085039,492,19617933077,494,14897645534,492,72769054240
광진구,13859197396,365,14658315807,361,13926654881,374,12186050828,408,54630218912
구로구,9987117335,307,11316909805,308,11235038576,320,9454798342,319,41993864058
금천구,9200450669,297,10712742568,304,10759133788,312,9711381510,321,40383708535
노원구,4046334109,109,9248728185,236,4031791561,112,7285463771,174,24612317626
도봉구,5132394579,193,4227245421,156,3758569483,161,2963499113,164,16081708596
동대문구,12265314553,407,14006332382,426,11258291785,398,8981690980,363,46511629700
동작구,10597627708,376,18255045789,523,11608722608,392,10776732643,443,51238128748
마포구,37168742469,940,34879582039,939,33707264050,939,42980871334,1270,148736459892
서대문구,3035181073,159,4862158042,181,2765273640,150,3603327969,143,14265940724
서초구,29973628357,767,34209091104,803,33324358124,822,27912142598,838,125419220183
성동구,8183025775,323,10587647869,369,16868811197,415,9687211806,360,45326696647
성북구,12186486392,364,11624076172,282,11457880956,318,8800102692,303,44068546212
송파구,29337367815,553,31436346223,613,28412199166,584,24078179572,584,113264092776
양천구,2117248649,181,5792555562,235,7052588798,311,3294666929,237,18257059938
영등포구,36537517460,629,36434039329,609,36276966972,618,34429441734,614,143677965495
용산구,33303759327,782,21575405865,612,33340409572,924,17038704847,600,105258279611
은평구,9515161809,316,10175286525,311,6936468667,274,7732712403,335,34359629404
종로구,49638632167,1193,45468290776,1054,53374262381,1361,36525800890,1122,185006986214
중구,52950873837,1195,49280370754,1145,52310321624,1233,50764763529,1298,205306329744
중랑구,2561808224,169,3106091444,176,5996539880,252,2591602494,190,14256042042
