year,quarter,name,sales
2019,1,가락시장,301933145
2019,2,가락시장,299126226
2019,3,가락시장,274998966
2019,4,가락시장,377855023
2019,1,가로공원로76가길,9838834
2019,2,가로공원로76가길,3682911
2019,4,가로공원로76가길,15782416
2019,1,가로공원로80길,21325593
2019,2,가로공원로80길,31467192
2019,3,가로공원로80길,47052145
2019,4,가로공원로80길,21428232
2019,1,가마산로61길,6000000
2019,2,가마산로61길,6000000
2019,3,가마산로61길,6000000
2019,4,가마산로61길,6000000
2019,1,가산디지털단지역_1,658930740
2019,2,가산디지털단지역_1,689273709
2019,3,가산디지털단지역_1,800342792
2019,4,가산디지털단지역_1,793276787
2019,1,가산디지털단지역_2,1775691263
2019,2,가산디지털단지역_2,1571333568
2019,3,가산디지털단지역_2,1860623919
2019,4,가산디지털단지역_2,2159908535
2019,1,가산디지털단지역_3,4668302372
2019,2,가산디지털단지역_3,4381646028
2019,3,가산디지털단지역_3,5387570624
2019,4,가산디지털단지역_3,5729297914
2019,1,가산로3길,26615859
2019,2,가산로3길,20608296
2019,3,가산로3길,11565636
2019,4,가산로3길,13720175
2019,1,가산로5길,43808162
2019,2,가산로5길,50821674
2019,3,가산로5길,60518911
2019,4,가산로5길,15198740
2019,1,가재울로6길,12644818
2019,2,가재울로6길,13616756
2019,3,가재울로6길,11753006
2019,1,가좌로7길,12055474
2019,2,가좌로7길,13273109
2019,3,가좌로7길,12510949
2019,4,가좌로7길,11983357
2019,1,갈현로1길,59426151
2019,2,갈현로1길,9458478
2019,3,갈현로1길,11076419
2019,4,갈현로1길,13073606
2019,1,갈현로33길,33300848
2019,2,갈현로33길,46726537
2019,3,갈현로33길,25156345
2019,4,갈현로33길,12254981
2019,1,갈현로41길,5579406
2019,2,갈현로41길,4746016
2019,3,갈현로41길,8063752
2019,4,갈현로41길,15211429
2019,1,갈현로7길,90509687
2019,2,갈현로7길,40750228
2019,3,갈현로7길,96709163
2019,4,갈현로7길,110864967
2019,1,강남 마이스 관광특구,2677217715
2019,2,강남 마이스 관광특구,2760699474
2019,3,강남 마이스 관광특구,2901356267
2019,4,강남 마이스 관광특구,3869615790
2019,1,강남개포시장,59630110
2019,2,강남개포시장,91646469
2019,3,강남개포시장,86811133
2019,4,강남개포시장,50498156
2019,1,강남구 논현역_1,615912252
2019,2,강남구 논현역_1,502859624
2019,3,강남구 논현역_1,943395921
2019,4,강남구 논현역_1,1695047289
2019,1,강남구 논현역_2,3615877170
2019,2,강남구 논현역_2,3359847887
2019,3,강남구 논현역_2,3606719314
2019,4,강남구 논현역_2,4164739395
2019,1,강남구 논현역_3,270787057
2019,2,강남구 논현역_3,275744997
2019,3,강남구 논현역_3,246322483
2019,4,강남구 논현역_3,228704750
2019,1,강남구 논현역_4,1247944693
2019,2,강남구 논현역_4,1135740103
2019,3,강남구 논현역_4,1373270785
2019,4,강남구 논현역_4,1862635085
2019,1,강남구 신사역_1,213639674
2019,2,강남구 신사역_1,170838133
2019,3,강남구 신사역_1,193257924
2019,4,강남구 신사역_1,269669436
2019,1,강남구 신사역_2,3423195243
2019,2,강남구 신사역_2,3132693832
2019,3,강남구 신사역_2,3801387189
2019,4,강남구 신사역_2,1846053148
2019,1,강남대로118길,65236632
2019,2,강남대로118길,72458964
2019,3,강남대로118길,76217225
2019,4,강남대로118길,39169739
2019,1,강남대로136길,446885705
2019,2,강남대로136길,520214998
2019,3,강남대로136길,500604920
2019,4,강남대로136길,568072530
2019,1,강남대로23길,361953478
2019,2,강남대로23길,436472130
2019,3,강남대로23길,436047047
2019,4,강남대로23길,405840229
2019,1,강남대로34길,257314231
2019,2,강남대로34길,277426404
2019,3,강남대로34길,251047772
2019,4,강남대로34길,275998433
2019,1,강남대로8길,348193231
2019,2,강남대로8길,356009509
2019,3,강남대로8길,336353156
2019,4,강남대로8길,355392045
2019,1,강남시장_동작,92217956
2019,2,강남시장_동작,97345491
2019,3,강남시장_동작,83921609
2019,4,강남시장_동작,117353530
2019,1,강동대로53길,263420494
2019,2,강동대로53길,295627808
2019,3,강동대로53길,345212508
2019,4,강동대로53길,440849054
2019,1,강북종합시장,13545916
2019,2,강북종합시장,14490306
2019,3,강북종합시장,13404451
2019,4,강북종합시장,11286332
2019,1,강서구청,513294481
2019,2,강서구청,481491234
2019,3,강서구청,565180771
2019,4,강서구청,405905825
2019,1,강서로15길,15534206
2019,2,강서로15길,20264422
2019,3,강서로15길,23678986
2019,4,강서로15길,24494830
2019,1,강서로18길,13143551
2019,2,강서로18길,16312862
2019,3,강서로18길,17063696
2019,4,강서로18길,11510157
2019,1,강서로29길,34267462
2019,2,강서로29길,43852208
2019,3,강서로29길,41584014
2019,4,강서로29길,30668625
2019,1,강서로35길,3538890
2019,2,강서로35길,6363130
2019,3,강서로35길,4734487
2019,4,강서로35길,19322653
2019,1,강서로45길,369236159
2019,2,강서로45길,292733907
2019,3,강서로45길,422257844
2019,4,강서로45길,370149759
2019,1,강서로45다길,38267147
2019,2,강서로45다길,33236158
2019,3,강서로45다길,42898729
2019,4,강서로45다길,16044247
2019,1,강서로47길,106952367
2019,2,강서로47길,112228014
2019,3,강서로47길,111146155
2019,4,강서로47길,106074342
2019,1,강서로47라길,3846708
2019,2,강서로47라길,7906227
2019,3,강서로47라길,7252293
2019,4,강서로47라길,9663331
2019,1,강서로5가길,90641212
2019,2,강서로5가길,101909201
2019,3,강서로5가길,107877366
2019,4,강서로5가길,86059993
2019,1,강서로5라길,1439351
2019,1,강서로8길,156940754
2019,2,강서로8길,116417987
2019,3,강서로8길,88701834
2019,4,강서로8길,149592065
2019,1,개봉동 현대아파트 인근,33841410
2019,2,개봉동 현대아파트 인근,38452501
2019,3,개봉동 현대아파트 인근,42788381
2019,4,개봉동 현대아파트 인근,75393249
2019,1,개봉로11길,22797885
2019,2,개봉로11길,22798800
2019,3,개봉로11길,25892938
2019,4,개봉로11길,24634282
2019,1,개봉로17다길,111627430
2019,2,개봉로17다길,110868063
2019,3,개봉로17다길,118545446
2019,4,개봉로17다길,92778439
2019,1,개봉로1길,38163399
2019,2,개봉로1길,11266263
2019,3,개봉로1길,12575443
2019,4,개봉로1길,9646052
2019,1,개봉로20길,27526801
2019,2,개봉로20길,36671167
2019,3,개봉로20길,24373975
2019,1,개봉로23가길,77655283
2019,2,개봉로23가길,100514392
2019,3,개봉로23가길,203483005
2019,4,개봉로23가길,110350815
2019,1,개봉로2길,44111579
2019,2,개봉로2길,14950354
2019,3,개봉로2길,46947717
2019,4,개봉로2길,66351171
2019,1,개봉로3길,124055994
2019,2,개봉로3길,104883017
2019,3,개봉로3길,101307934
2019,4,개봉로3길,106716263
2019,1,개운사길,706261672
2019,2,개운사길,645178438
2019,3,개운사길,745112255
2019,4,개운사길,1483696906
2019,1,개포로17길,29975206
2019,2,개포로17길,40184687
2019,3,개포로17길,34546243
2019,4,개포로17길,19508235
2019,1,개포로20길,183293657
2019,2,개포로20길,222338788
2019,3,개포로20길,227833574
2019,4,개포로20길,124824515
2019,1,개포로28길,136776681
2019,2,개포로28길,150588539
2019,3,개포로28길,135440313
2019,4,개포로28길,69717826
2019,1,개포로82길,166283216
2019,2,개포로82길,204518104
2019,3,개포로82길,258019364
2019,4,개포로82길,235999821
2019,1,개화동로23길,33927373
2019,2,개화동로23길,41160855
2019,3,개화동로23길,39971372
2019,4,개화동로23길,46365115
