address,sales0,sales1,sales2,sales3,sales4,sales5,sales6,sales7,near
강남 마이스 관광특구,2677217715,2760699474,2901356267,3869615790,2509561178,2177054503,2190002943,1805724821,0
강남개포시장,59630110,91646469,86811133,50498156,41952010,47323019,54905339,45432928,1
강남구 논현역_1,615912252,502859624,943395921,1695047289,1458904358,3548456192,3615235809,3010044857,1
강남구 논현역_2,3615877170,3359847887,3606719314,4164739395,3705594858,168240860,153566371,130731731,1
강남대로118길,65236632,72458964,76217225,39169739,36730498,40097358,37824454,24607253,1
강남대로136길,446885705,520214998,500604920,568072530,416189596,469766365,429781752,360584032,1
개포로17길,29975206,40184687,34546243,19508235,18619725,24637177,23548085,19626738,1
개포로20길,183293657,222338788,227833574,124824515,127260486,162065689,157746105,138394765,1
개포로28길,136776681,150588539,135440313,69717826,63152147,98783757,91134204,61444114,1
개포로82길,166283216,204518104,258019364,235999821,253161791,389206998,439333831,344429367,1
교대역_4,495142294,576550257,800248346,967836400,813287366,845393412,801063520,646240552,0
남부순환로365길,181493326,188070813,191934253,7889972,7448994,6739319,9498045,3175425,1
논현로106길,87873615,73351207,95204790,99872560,86866682,225881980,119472264,84938069,1
논현로10길,357194502,365182529,383180707,351006986,317255147,364213783,371995328,319233079,1
논현로115길,188417919,202138769,195968568,178246360,138319563,179182687,199390404,149348268,0
논현로139길,243810240,252861484,224588308,208795473,111096786,102148731,148273010,114718445,1
논현로159길,849701528,202365593,769258430,306719891,251296469,370185111,337047945,317888007,1
논현로26길,2049822031,2299486327,2570673968,2455053068,2319304667,2770348502,2769321369,2742691049,1
논현로28길,126511697,128419870,154452975,191763221,149296608,209776322,163718991,135075881,1
논현로63길,29057948,29083151,20381844,34820100,31594361,48556297,43105607,23974747,0
논현로8길,51635127,59175265,67251711,45427190,27858983,27334466,33625804,24102522,1
도곡로37길,395122662,433017715,414042141,423605994,410044721,409909768,384125581,264329416,0
도산공원사거리_1,427118884,315925774,358799995,467367205,341229414,485524397,416830970,412628814,1
도산대로15길,550575460,564229283,531116365,549512320,469272057,505457229,496210470,441643196,0
도산대로23길,27828578,39212297,53587379,130961170,95433852,85688205,60028049,128820758,1
도산대로30길,279641989,136997677,299689212,293068492,263639780,288496510,259102045,206127402,0
도산대로38길,106899946,122252008,122914173,130539589,127509524,154585753,81060626,61518276,0
도산대로50길,9598312,14039916,14961595,10367483,5496408,7383121,9461616,3971838,0
도산대로89길,36909607,37324968,51048063,23984958,22076367,32680358,30255712,18948221,0
매봉역,255488716,286818358,341916681,560583651,575535024,630726551,606287990,494573970,1
봉은사로109길,2711580,8152779,2950322,2055162,1085961,2011972,3164856,1761839,1
봉은사로29길,630445841,433010329,575806695,552904742,471181618,492932758,459102650,560752719,0
봉은사로43길,132360081,61591479,139199100,166849102,149793251,167386226,152262361,133128268,1
봉은사로68길,232256632,254183687,224163060,232696818,197509324,313438197,275211101,269548841,1
삼성로115길,386807961,351785460,385291807,393829998,413161053,396828225,356243222,302522265,0
삼성로147길,77515652,81292058,98420515,68635207,19151840,46553030,38160105,7417476,0
삼성로57길,84794681,116848455,132975282,23231882,2800285,1517780,10632502,14565087,0
삼성로63길,89571721,89590322,115339758,97787040,66392514,65985851,76825243,82442950,0
삼성로64길,56080819,57324560,65175384,52695194,17756597,19193627,21067970,13624944,0
삼성로69길,160035188,138388169,168715729,130951783,88293105,86726335,98069614,50655323,0
삼성로75길,81001108,61262171,98726208,68783747,57645036,59574122,57371576,32225657,0
삼성역_1,1422826639,1440064533,1602694547,1398854726,1283609105,1383118604,1591907730,1471896522,0
삼성역_2,668229285,793940167,798464362,912858626,808528170,985011085,1111219347,958015211,0
삼성역_3,1201926222,1226931816,1300214806,1391699897,1188340723,1383823234,1209016090,1202016856,0
서울 강남구 강남역,4292875714,3268846872,4576766469,6029987747,4652627265,4325720930,4008199912,3159354302,0
서울 강남구 강남역_1,3152370318,3160281551,3931469725,4247193720,3947581372,3943375277,3855368765,3274551833,0
