address,sales0,sales1,sales2,sales3,sales4,sales5,sales6,sales7,near
관악구 사당역_3,741722557,766494390,878088189,745468651,547328691,568614390,492133303,396327223,0
관악로10길,40951137,42151179,38501048,46110646,36306675,43438000,42023542,33078910,1
관악로14길,177011989,232215657,190255816,240240238,187206497,204999233,124543669,89680986,1
관악로28길,37362385,55382825,47079456,42904506,38355742,40506229,34565317,28764049,0
관악로30길,61961132,67711521,73994562,55358841,54430190,56248641,51472315,38655424,1
관천로22길,82913522,90354346,84500710,69021151,70602793,80846950,61892703,52712266,1
구암길,7849921,6949026,7491221,7839554,5618934,5447360,4578601,4072691,0
낙성대시장,96255688,64065675,72453324,114000000,114000000,114000000,114000000,103788444,0
낙성대역길,137435237,126651541,138012615,103586430,77665752,103966209,115230994,114451526,1
난곡로34길,117057789,126830131,132127259,104309349,98058385,107754815,79242923,51097319,0
난곡로74길,104206116,120246067,116131407,105860331,81431008,87134425,76657372,62733644,0
난우길,100847762,88576262,105336649,89441616,85110070,97987786,87205139,59173814,0
남부순환로142길,90959998,45609823,96827936,83088694,75391298,88578579,87968218,73239172,0
남부순환로151길,6396776,7176992,6117358,6023666,5099180,443587,13680727,42313246,0
남부순환로161길,10634235,14666763,12046432,11860860,6423942,4145459,4771745,3619547,1
남부순환로234길,124810457,132843038,178366969,176267225,126994904,147476612,135060150,97833958,1
남부순환로248길,84959079,92817737,97724882,84655225,73222414,71980823,60144996,117655563,1
남현2길,21713071,22674265,19027032,75573453,158108462,143077292,112636997,85425863,0
남현3길,89937964,120824676,144096428,99911572,71074196,38016186,58767688,61360100,1
남현길,25894554,32439072,30845792,23804173,22490891,31223395,26488937,23093604,1
당곡길,93873176,97463943,97766648,81739891,77609853,112062501,101665156,80203028,0
대학길,154122773,197460772,239680912,284297079,269270824,286697393,232707335,186571197,0
미성동도깨비시장,18984581,26032506,28781071,19809804,18329541,32911913,28177383,14806765,0
법원단지길,18541369,22755378,21426616,18099344,16635470,21881617,115188749,300217001,0
봉천로33길,12566530,13020686,16116175,13415477,9329958,2256688,2789745,1833998,0
봉천중앙시장,42180546,58573580,53720755,13186123,13563406,15612251,17984807,12735890,0
서림7길,35078564,43448218,34706237,81705109,61629470,95351473,87499224,60663131,1
서울 관악구 대학동_1,454007782,484679679,491788075,348237091,288181861,347656672,335729223,257294733,0
서울 관악구 서울대입구역_1,1669274049,1596302626,1588673210,2026585096,1718435281,1804726774,1504128938,1291118702,0
서울 관악구 서울대입구역_2,110993007,96864794,126601069,78876689,78272616,117008992,105203929,95418154,0
서울 관악구 신림역_1,2985895510,3032441124,3283687608,4087890884,3638774806,4278408617,3963107922,3001589758,0
서울 관악구 신림역_2,1235857884,1215716222,1194980546,1298678377,1071158225,1007562384,867829805,843930426,0
서울 관악구 신림역_3,980380555,1097199773,1202953330,1138351737,891069281,971415274,797019949,612734573,0
서울 관악구 신림역_4,338644445,367174268,292623995,412115403,344979026,400617903,391934896,311707474,0
신림동길,160599640,166254211,167508299,162310417,140881605,163858403,166248342,131004776,0
신림로11길,9908307,15658528,21873723,55457883,47631684,73013096,67894754,45454987,0
신림로28길,133589950,99580790,96464283,118715870,100469940,90617344,91681565,67280215,0
신림로38길,29424541,29636977,26160453,22017692,22677947,23042815,21108316,17750821,0
신림로64길,335140950,340020934,310590119,198046662,164214806,183256532,192863599,176546665,0
신림로65길,122665945,130606642,122866808,102691218,98034821,106020174,97960425,74865220,0
신원로3길,90081478,95978022,107264383,87843190,84140158,99482486,91672990,72310744,0
은천로25길,9997631,5442852,5118678,6720479,8507521,4947056,4478504,2288286,0
인헌길,8179485,13925417,11634421,8101845,7333637,10900286,10925726,5691826,0
인헌시장,85696238,97595070,120220694,120654624,90763885,95419978,86475656,53049754,1
장군봉1길,105253346,120333762,128053276,103406171,94209511,123341017,197259238,167776054,0
장군봉2길,109757562,102127801,53986948,38357821,36933879,34600773,20580918,23389374,0
조원로10길,501968629,447334888,478335397,423911359,407534266,429301911,327014494,340501977,0
조원로18길,169888579,163093660,171238133,158108019,135273305,166026023,154293839,109625456,1
조원중앙로2길,52674573,51238876,58427448,14217867,13016344,14302987,17622137,15726516,0
청룡8길,7925229,8217776,11112770,11219993,5815104,2477066,2046952,5353991,0
청룡길,185071790,216140294,231196949,199342849,163895271,198461578,189776805,180904287,0
청림3길,36933156,37483453,42498279,43805108,38956628,49685655,47107405,52899077,0
행운1길,34300373,51394347,49718801,28375804,27986107,41082699,39928087,30570761,1
행운길,414699628,669704261,564440213,747975514,1008872153,791996226,653219452,374392771,1
현대시장,209039987,243031614,254705362,220412366,189535095,234837380,218581136,188612196,0
호암로20길,256672431,318124561,282824249,280792968,251431396,270103032,218395103,174531460,0
호암로24길,1767505411,1727170248,1903479353,1574416004,1404292608,1450224909,1533223165,1347987896,0
