address,sales0,sales1,sales2,sales3,sales4,sales5,sales6,sales7,near
광나루로12길,84931772,86472856,82009984,135130818,114040085,153193604,139020944,66854935,0
광나루로24길,327845497,589674517,421983070,589653114,263237584,321013701,311326628,277623514,1
광나루로36길,78662648,109837897,108593020,107456196,104461320,110194148,91068500,70387083,0
광나루로40길,82629338,96546075,115903421,94826044,104726919,144667040,163361475,112588857,0
광나루로52길,9937816,10287027,8827735,10786655,9438557,7057272,7177211,4480357,0
긴고랑로20길,60400318,60905084,62859835,74585610,58784167,56625173,45128149,26915228,0
긴고랑로7길,45203166,55659731,69426195,33769488,32864175,40855805,41637566,42879440,0
긴고랑로9길,98939710,126189015,129381410,79149244,71144119,58585947,53927215,39618160,0
능동로13길,119242868,136430114,108869631,116195202,104314437,123069228,125160965,98091027,0
능동로19길,216567512,233460772,213168358,249815390,171071669,212310359,186757050,177846722,1
능동로34길,42461090,40365070,44138933,50332086,48418674,64464310,55324073,43312414,0
능동로3길,8954830,8305688,10868967,5542188,3520552,5404656,5574888,3925937,0
능동로4길,22951144,30564978,24268475,47107148,43616249,54541355,49153334,39249488,1
동일로18길,55911697,60632738,56399690,44909811,31782191,31820818,44035830,48203241,0
동일로24길,24642068,34538785,33216874,28957384,22931551,35879666,41594940,27935735,0
뚝섬로48길,157854318,180177395,167973655,162333474,166867895,216434100,186819082,126565066,1
뚝섬로54길,37454288,42180527,47268125,33871801,44280219,35999337,63530906,20984826,1
뚝섬로58길,49849586,64006615,46976503,88524750,87776886,110697248,104034806,80077289,0
면목로17길,23368936,32688182,32709892,32655130,34874821,42215072,25012184,12805011,0
서울 광진구 강변역,381440187,374448019,366524723,520441849,327298008,291997675,278172919,249461988,1
서울 광진구 건대입구역_2,4255115895,4466137090,4467519661,5071514456,3788622664,3696216120,3302829597,2515539289,0
서울 광진구 구의역,305821535,329726636,316313192,317072060,282256001,472604603,526704962,464830696,0
서울 광진구 군자역,609069346,633063648,675134266,446113960,414908984,475889750,376835073,340401461,0
아차산로55길,46852680,63640000,56916924,54754242,53685888,59135060,49795237,38896647,0
아차산로78길,138321069,129233976,184286732,185025549,135494503,829111960,1055733556,1089121763,0
어린이대공원역,443701907,601119216,504143403,608374341,527122807,676474642,563842642,522221787,1
용마산로21길,116426011,125377948,158193357,240322391,230319757,248469138,219619706,204865868,0
용마산로3길,13642971,15057830,19630290,26938911,24687957,26189863,20649822,14128628,0
자양로11길,130600385,138493201,143294524,116847994,105828619,158232486,137107068,90918522,0
자양로26길,20481940,29968331,40169603,18331175,22617094,28801438,32231464,25386653,0
자양로45길,184372379,280072990,361758027,427470327,329436223,907613933,928809039,714298646,0
자양로50길,16458545,13929158,12007447,9606607,8256865,15985908,15723681,29526787,0
자양로53길,35983478,33987520,45261770,30395191,28071671,41385291,18993664,18519095,0
자양번영로3길,6692785,9061114,4913828,5503650,4729877,3643337,3458030,15875480,1
중곡제일시장,19386303,24286964,26090382,15992799,16874978,20973985,20026904,8348850,0
천호대로109길,197880083,203653087,249289963,240358759,228857695,251880405,227413117,180202575,0
천호대로129길,93523403,126350635,107087001,206394798,208498565,252540806,179877957,84912774,0
화양제일골목시장,26809147,55673849,73079649,58201372,46575672,62946718,41339660,51635743,0
