address,0,1,2,3,4,5,6,7,near
계동길,570413765,543160033,432042927,340408777,656790528,532080663,541482569,575811030,1
광장시장,116124145,141107051,150696850,118019023,67363337,91831573,89121169,65480198,0
난계로27길,194704234,190809447,215574829,186978636,161808819,177326853,173852321,142724698,0
돈화문로11가길,385169402,443917726,504881452,319692589,268324597,307042301,312658881,267496984,0
동대문종합시장,208774196,197420315,277859520,115687535,122801079,117843647,130561012,89193017,0
동묘시장,14631113,17533385,13031215,14094928,1734929,9758981,4393710,15036127,1
동묘앞역,41896912,46662703,47141383,45214871,32751348,231504841,244892488,204807920,1
명륜길,38917933,78622132,41861509,37418810,16405622,12638368,13927370,13562542,0
백석동길,509997120,804885930,925887522,419633453,343418034,541108196,424624667,270906814,0
북촌로11길,22448140,28721051,29868386,48399826,23073102,20970407,32059001,13936997,0
북촌로5길,1246305988,1446264562,2834731943,3738496398,2775920887,3541239638,2239828225,2015608053,0
북촌로5나길,1081377468,923439522,723812009,550451468,358970762,544353875,367262496,279715033,0
삼청로5길,264624047,237092647,319664824,389439682,312385007,413706558,582774724,617326075,0
서울 종로구 광화문역_1,2167277095,2221980847,2206265905,2527259924,2026464941,1960432849,1868356030,1629437646,1
서울 종로구 동대문역_1,98000131,134971884,127196768,74794846,61076714,80716814,81677690,63885672,1
서울 종로구 종로3가역_1,1204616195,920335870,1340092390,1090101297,869546135,833399331,851880790,851333671,1
서울 종로구 종로3가역_2,3562902780,2544108654,3157201054,2485398266,1759915031,1924970148,1874193516,1495274782,1
서울 종로구 종로3가역_3,384590638,592012486,627917716,400796900,295000676,372256256,438083887,434533867,1
서울 종로구 종로5가역_1,281225948,165181330,291073801,151859258,78914628,90180758,118261229,99143414,0
성균관로5길,110160048,139439389,147004490,136517242,91413823,136180676,174457890,136752611,1
숭인동길,70522365,72143473,68082597,53155077,45008688,45982989,30801117,41351981,0
옥인길,75620353,69900414,59980709,72490158,47990511,115302275,95398949,23472414,1
율곡로10길,332109487,207717109,177049372,264650756,128763457,111114847,117531268,112695846,1
이화장길,821801166,831315232,842238726,487933235,304213522,370993889,568891815,800233319,1
인사동,3687105373,3428592016,3499963157,2520010504,1635413693,1730424090,1705538937,1443953367,1
자하문로7길,739202502,817276395,811181479,252085008,216483495,277562920,282275581,319189257,1
종각역,257988208,278010854,250925626,557438356,443174109,484343970,398189497,467225763,1
종로·청계 관광특구,5409146148,4940106720,6022831770,6113410593,4448509437,4761356645,4371093983,4040761901,1
종로24길,110489238,124467506,109552201,92934321,61521622,86476522,64501543,79144758,1
종로58가길,79759364,39858661,83468501,74056409,57103724,60123124,48732488,37503928,0
종로65길,152473261,219281961,239195537,178638715,142304590,212884981,194740314,244022229,1
종로구청,7460909057,7898521704,9282725668,8353375970,6735203565,7213724311,6554061536,5790678005,1
종로신진시장,98155626,106892884,112005632,131402873,95841848,124623809,105621093,73213168,1
창경궁로35길,142693018,111965469,144358870,124533399,117616880,130290514,123939218,126806874,1
창신골목시장,23133015,23457199,25622619,13988821,13267132,15006743,17418673,12237018,0
통인시장,707112054,482337850,549016300,525156788,429729240,506919869,831286098,378100264,0
평창길,114096090,133852889,107023639,88072076,103178756,142151469,132897504,87408677,1
필운대로1길,403043527,543637332,526282065,182316070,150058022,373849341,434540698,337826931,1
합동(새벽)시장,105472273,96432006,90903349,132698757,99744040,105442805,111078033,108625502,1
혜화역 대학로_1,2765899655,2822254646,3197149870,3425133683,2307670863,2169995137,1912375681,1493806010,1
혜화역 대학로_2,707519753,413997303,690873830,553776000,538543951,486519730,345381142,390968433,1
혜화역 대학로_3,1808309749,1816895262,1981405935,1589341903,1159618322,1098296408,988254777,853092668,1
