address,0,1,2,3,4,5,6,7,near
난계로11길,158890078,141100191,185686353,232201204,190346818,212717948,200535660,196594129,0
남대문시장,1776581645,2023144583,2126758121,3005817484,2035010560,1892458123,1525097085,1292381105,0
다산로33길,8245141,2511323,3327239,2707683,2975056,2241114,1210526,1722488,0
다산로36길,43869470,48960544,45206695,36212305,8757269,15231255,17442059,21613471,1
다산로38길,77506273,90631124,92252168,96622179,96153337,99179802,100650400,87606310,1
다산로39길,50518139,53071581,56948357,48011477,44340526,47248374,82621029,70894820,0
동대문역사문화공원역,643830142,774316367,795668204,393982332,233357143,257868879,205863273,153307825,1
동대문패션타운 관광특구,3787614897,3726487834,4078360323,4252057288,2720678465,2782341719,2510290148,2062325190,1
동평화시장,151503860,179614963,177092765,299784852,204771743,341927840,303085820,242878989,0
동호로10길,208625561,162147709,198990570,163058406,162234480,168136726,152665585,187994485,1
동호로8길,172531046,165665565,155011392,98811378,106367472,108998889,114851442,91108563,1
롯데백화점,1605944613,1739711381,1650086376,1328944216,971458508,891151988,831920533,717514045,0
명동 남대문 북창동 다동 무교동 관광특구,19435993676,19638869039,22150613792,23508019317,16555585562,15330338432,14491863887,13349814617,0
명동거리,7893134684,7977462989,9095538657,7773446023,4575385813,3955315357,4006014378,4287328411,1
명동길,1016323922,914431003,1040396184,1115515596,688657694,706098453,524267976,358520564,0
방산종합시장,95323607,111190196,106100466,129531763,108597343,145361153,137763168,92734716,1
백학시장,27344050,49977461,41763014,10352413,5708397,8625477,7812620,4429299,1
북창동,1077089863,1251948343,1511503116,1728722330,1511520932,1553824519,1589791734,1357341421,0
삼일대로4길,607241430,536998975,536869704,839226659,681153165,708785572,824533872,687966727,1
서울 종로구 동대문역_2,231129010,276619997,290369993,179026262,104052597,142388087,118729390,83148492,1
서울 중구 명동역,556994657,709967481,424016155,1209487645,725095519,765856062,629673380,857557247,1
서울 중구 신당역_2,446551824,463919731,501039603,478454523,407383871,352695502,307105585,254054586,1
서울 중구 약수역_2,402727920,176999920,386375560,443100476,364698302,358626876,264363219,230827309,0
서울 중구 을지로3가역_2,1555378094,1822396655,1768915065,1721848604,1803942015,2031164829,1932979687,1729775885,1
서울시청,2499568540,2536039366,2827805265,3504773996,3052827716,2936083798,2629978173,2284127021,1
서울중앙시장,22321383,16408751,8591472,13997111,8406488,4727364,7070494,12270595,0
시청역_1,6045367208,6552068535,7208306240,6255401855,5805543338,6152051526,6173493300,5504475071,1
시청역_2,2626103649,2745990294,3341365262,5391131072,4941011448,4661913991,4638966816,4715340342,1
신중부시장,111063444,167733730,164624753,236950096,178589868,188516790,172580446,151603468,1
인현시장,40696467,54960520,61119276,59015336,50923034,70980505,90755772,60933306,0
장충단로8길,35383544,41712911,54013118,57865021,53884388,65949375,70781777,57702508,0
장충동 족발거리,504712847,166246995,521939746,638058947,329923292,306973147,267448687,239784771,1
중부시장,45263130,54457000,47852585,28719398,15680581,27667922,14686650,6076681,1
청구로17길,79241462,77629849,75899144,93512528,81873750,78588001,62198813,55113649,0
청구로1길,2417974,1676043,6033733,2187556,94861,372668,135516,108412,1
퇴계로12길,329218002,325376222,308524633,222534661,166934537,116858921,168374629,91239808,0
퇴계로18길,146687652,260868236,144426340,259599590,104199793,154931237,166911798,152588075,0
퇴계로46길,52428006,69414454,44353306,48114335,31554799,37309482,37458137,33307479,0
퇴계로56길,62085085,78819027,58107404,68834068,51334994,53021985,41752979,39843860,0
퇴계로8길,44898241,59434785,47055116,78195561,64397547,97210024,68276708,73385961,1
퇴계로90길,50593396,55384010,59277757,67806541,61152026,68040681,63969725,42997806,0
평화시장,814147371,624792036,644410443,1493057852,696419469,765328032,648705854,514323922,1
