address,sales0,sales1,sales2,sales3,sales4,sales5,sales6,sales7,near
고산자로6길,238655001,242153410,247078846,248414460,173963499,179206823,163143066,121515585,0
금호산2길,4777388,7503725,8501533,6893952,3326030,2056091,2842243,3381463,0
둘레9길,70136913,50370266,34815511,41535852,40789626,35583305,60135978,76828718,0
뚝섬로5길,345976340,402443656,366424416,397223732,398436072,437347418,647263882,472947901,1
마장로39길,9485676,12124056,18000000,18000000,18000000,18000000,18000000,18000000,0
마조로1길,277254939,306336858,304704202,300251552,176572355,173374739,172423731,181530654,1
매봉길,37900347,49321924,49609747,39315932,30510993,39581844,36796193,30420985,1
무수막길,97370292,118573303,138496223,220577600,210815782,281471003,247818173,194150939,1
무학로6길,62742671,97936766,84073188,124935028,96050642,100258002,80238798,70457691,0
무학봉28길,15014460,19414836,19810954,18721252,19087324,22348920,24069609,12955242,0
무학봉길,36232373,40994772,43497283,33198639,27968657,34522892,33160326,19904397,1
사근동길,59749436,91424728,70728921,246505258,147296779,204248748,177138490,210133757,0
상원12길,25839072,37266866,58651634,56700277,57976646,65770690,61721148,48802410,1
상원길,318923032,364450563,358919439,378915615,345202309,407184133,394096165,353472463,1
서울숲2길,331562501,382771019,309821876,321903641,273060938,509657602,599874725,533938788,1
성덕정17길,84244817,86234978,87670696,71933813,73807656,81972244,77316374,55469840,0
성동용답상가시장,88713697,102460478,117298318,142049360,141423506,157284417,159666802,147846260,0
성수이로18길,151086544,138743718,162223788,154453020,138018275,139516935,127332129,96937117,0
성수이로7길,131308326,113075444,132966469,138421205,123366859,152153300,154877039,128891379,1
성수일로6길,146193597,144795383,248447902,395116768,372825345,383130596,357538413,308751043,1
송정4가길,27011462,33686324,32211689,23857895,21755519,24396491,19682857,22517054,1
아차산로11길,347772889,311353436,317344566,897878831,843004527,857712399,848270743,773398080,1
아차산로15길,462553268,460874888,641811887,527335493,510799050,529788423,904953287,1012629101,1
아차산로5길,92871986,99718546,128648934,240183636,179772851,222400227,213394140,183985353,1
왕십리로14길,147672517,160873993,2155664103,1243863297,978819372,1573683632,2575676119,2347347819,1
왕십리로26길,41295060,30481377,35512299,25791385,23933079,31604016,22564212,16227312,0
왕십리로31길,65942447,24724138,75392104,61192364,60416968,101400566,142218589,96543085,0
왕십리로6길,300875543,388670185,412056336,565526449,404151100,497949527,508021930,417487782,1
왕십리역_2,362848956,328267662,459305779,309780830,264415357,196339841,199243641,166957659,1
용답29길,95509424,113967900,125447209,120236299,81007029,88669948,87886580,67318173,0
용답중앙길,21744410,14192925,16052820,5237138,7115693,8736542,9850438,8064826,0
장터길,95529625,114848384,128909567,87331557,54184690,65372347,52000083,38818797,1
장한평역_2,168223040,203057390,210682006,193624818,172367706,197350239,192873548,144618576,1
청계천로10나길,83213521,46377212,111282564,98518454,89206162,103360482,112075893,82206502,0
한림말3길,128286306,179234761,251324177,317705277,267626683,317663207,309905802,241406006,1
한림말길,43254929,48047759,50609509,101764483,88226771,100093062,97857347,115867014,0
한양시장,718009536,910843923,889158780,833318556,584163494,666552000,675441752,559339538,0
행당시장,208152749,216311040,268736327,367534672,333450128,378917587,394519291,284299562,0
