address,sales0,sales1,sales2,sales3,sales4,sales5,sales6,sales7,near
가락시장,301933145,299126226,274998966,377855023,426256256,879237362,673053558,529309060,0
거마로20길,47904846,47214428,48951253,21551886,20096468,27153787,26088233,15644874,0
동남로20길,392660747,359855852,324989353,234450618,153427097,168026129,126155965,87733390,1
마천로51길,48843020,50761794,51917626,46353894,40726355,50089997,41218478,29632015,0
방이동 먹자골목,1076781275,442768801,1249947896,2150645708,1996652645,1998867316,1832974184,1522401403,1
방이시장,266821008,295800569,324254374,289135555,263060836,306293130,270802758,202428464,0
백제고분로21길,70633016,102924507,126364813,242457612,231028463,312898942,395850074,297281547,1
백제고분로22길,56532487,73445005,71598103,58202379,53448642,58021449,97481214,103597282,0
백제고분로31길,409230821,594951186,668532773,340344603,370540101,297397721,347566615,198280380,0
백제고분로32길,171615177,40297335,222248040,205482116,196411928,202937021,193678104,192453492,1
백제고분로33길,390961871,455183353,366202174,244691063,264745592,373086749,374437752,302759526,0
백제고분로34길,69542619,110763057,166682026,61074520,48636444,71468810,61831579,51216482,0
백제고분로39길,21864440,29660341,25502673,19901321,22905500,30362654,30749220,32028497,1
백제고분로42길,12000000,12000000,12000000,62689591,31419817,48169143,54068478,33931769,1
백제고분로45길,264011383,255329959,253333164,440913920,411359414,557942975,553197056,458065939,1
백제고분로46길,87171756,83758685,111717123,108395126,96154820,78834355,63434577,61741818,1
백제고분로50길,170810801,184680074,97353698,99097593,74914484,83023362,84318092,84794790,1
삼전로13길,391473894,391867263,374749756,432817618,394438856,428616400,405251380,357311389,0
새마을시장,130202629,84189371,141777659,133227710,115080333,117860774,103365598,76053570,0
서울 송파구 가락시장역,1499175476,1334034484,1954740564,1483651911,1310117752,1373296707,1322888998,1188362903,0
서울 송파구 석촌역_2,129830350,126473520,106748728,89266561,77004184,84755151,105475164,111401380,0
송이로23길,57740472,51600763,67352005,52477454,45802467,56664690,59491932,37335115,1
송이로32길,196662387,225978195,223221725,200531522,180793122,197320018,207481274,168131763,1
송이로36길,173317550,198164951,210909310,203378977,126834859,122442391,127112626,112792213,1
송파대로30길,346495481,560246605,624014021,421910449,511122152,634898379,637626203,517229163,0
신천역,2123136465,1919633063,2331656666,2768868572,2280526864,2443056626,2151498396,1611731876,0
양재대로62길,194970083,228827998,220568199,165016403,169653723,212789330,214767456,190119826,0
양재대로64길,80215527,82694500,87167356,139902480,141252707,140726448,145858571,118960060,1
양재대로71길,277124227,293959670,312035180,432171313,421184745,525035737,497773074,403035858,1
양재대로72길,662227382,697292410,713086584,752856790,1487583460,1531250836,1381566010,1006151092,1
오금로11길,203883242,223130080,232053432,231190819,212985310,232633534,224897479,193965340,1
오금로36길,419550999,383067724,468810817,494856150,453435107,459123065,445010564,348177326,1
오금로46길,68957738,63066531,73606814,96301806,114064316,118038894,132216558,113814901,1
잠실 관광특구,8592590225,7628715263,9517819698,9852778741,6991173695,7027623619,7220959491,6438869955,1
잠실역,1590410518,1774844155,1768508502,7219084095,6722816522,3919754208,4733426165,4031199906,1
잠실역 롯데월드,3041312746,2837777385,3410107758,2011794704,1529290339,1591706683,1677267504,1567185888,1
장지역,1234303302,874994637,1348290105,1761829758,1248582768,1343921891,1268519033,1123670240,1
풍성로25길,9136847,10269691,10599289,8965528,7933461,8113080,8816142,5584189,0
