address,sales0,sales1,sales2,sales3,sales4,sales5,sales6,sales7,near
남영역,652742239,757979313,770392813,838710310,727723360,771665423,699182078,582471601,0
녹사평대로11길,15787294,16627170,16983721,15280199,11154109,22153713,34046676,31494363,1
녹사평대로26길,140538204,248175059,494977604,657697223,555063411,528701074,347840646,205079223,1
녹사평대로32길,206788451,183504347,186736630,159711063,177531880,117679146,152778305,111936766,1
녹사평대로40나길,193034644,153590030,157772650,217386627,200498267,178598913,141216797,110331423,0
녹사평대로46길,505649881,711125346,621443435,272398482,159552552,211898143,216396586,186601268,1
대사관로34길,68657695,80640978,82388703,105220411,76110629,65993491,72295840,46497032,0
두텁바위로1길,84315491,38871729,62817262,44551228,31039724,24707557,18932967,55585146,1
백범로79길,289588744,346669134,322038876,321617349,277344712,306479031,301311069,259630040,1
백범로90길,149749288,106327839,84328414,65544485,62627846,69558643,55603269,43275268,0
서울 용산구 숙대입구역,209999771,285854623,338527049,370581905,308782591,386866804,364581202,233310269,0
서울 용산구 신용산역,1126912742,1099828022,1183750919,1157946558,944725372,767673527,903406151,822955175,1
서울 용산구 이태원역,933330321,841922970,900103150,1314344515,1096783634,621856845,540472214,507288889,0
소월로20길,18591210,17909187,17941111,57826843,59702905,54440134,58954871,85172068,0
신흥로20길,69483584,52594455,217655661,212335488,194408753,255279821,295932023,193444296,1
신흥시장,145695858,101301854,89156640,110126131,95044107,106995945,165568001,121631792,1
용산 전자상가_1,4146346330,3672226134,5633382273,6139023331,3894821956,2955275928,3135614179,2354524272,1
용산 전자상가_2,83120361,47184239,118057844,122273765,133581292,145393371,157492029,127491863,0
용산 전자상가_3,3261775,292093,50880,176227,419985,49954,86032,106245833,0
용산 전자상가_5,230590603,238675274,348542453,284775316,277220419,354566455,297622604,284503917,0
용산구청,372988181,250326206,390636672,337629528,305882402,261504332,237101516,220399509,0
우사단로10길,49940431,72701684,62650592,18159590,15840173,22600548,23840410,19391937,1
우사단로14길,295074820,236883298,254979712,553599354,484554659,333011202,321692409,271288946,1
우사단로4길,167891495,172374286,156092726,218140481,192795014,217970499,220656199,164834454,1
원효로19길,159930874,178198415,217847591,95490655,94424224,103518764,95883758,70618187,1
원효로53길,34857852,37376006,30435884,43347842,38731915,49603358,48573395,35239721,1
원효로89길,823122762,836029278,812248243,165628568,175389334,193378325,172894394,137744762,1
이촌로22길,58109033,54824360,65788118,64328883,73091256,72705561,56343469,46561859,1
이촌종합시장,184249042,212495757,228700223,151879119,119225113,140630601,124030012,97196534,0
이태원 관광특구,4861904850,4724007693,5017709156,6542256953,5853662391,4793409993,4483673900,3896816097,0
이태원로27길,205782682,217859190,215356465,369120521,259454091,158532953,154474022,130481984,0
이태원로54길,2133638963,2135463982,2109074327,2377272051,2332743482,1929831761,1857662255,1425855699,1
이태원시장,466318606,603273977,363109163,843000000,843000000,843000000,843000000,774169946,0
장문로45길,2294538,2336584,2961275,1003109,414458,1045156,1567734,1057169,0
청파로47길,1834866264,2331084798,1816322965,2361989704,1221645824,1360835092,1060504505,1000345248,1
청파로71길,48087104,46617527,49777340,21062473,17729076,16659624,18494021,10700407,1
한강대로104길,107489432,95375488,122334387,346157564,347214706,398133495,423997789,404671483,0
한강대로15길,131907231,115114185,120778007,108822717,145359880,138061422,128438638,74397105,0
한강대로43길,235493442,227116325,304343594,311353768,285861398,280007351,260979228,120311452,0
한강대로52길,403433471,398034486,341229936,511876739,431092971,441553174,438189092,189800325,1
한강대로62길,150339908,174530581,166181237,247967981,181566747,203756952,294130993,337939620,0
한강대로7길,224122340,239117140,255594655,296780776,267966543,363901485,333449564,314210067,0
한강대로88길,198889018,195749186,223528385,216309912,217845509,188820382,225000000,147040484,0
한남대로20길,371499469,415866771,338518725,168592245,130650844,123921234,47513394,41635991,0
한남오거리,560551712,672782267,655666233,612413367,506509339,527531020,455586145,309663544,0
회나무로13길,163096648,158866596,155862701,140710359,127247149,155709833,153066637,134370114,0
효창원로39길,102888302,105055468,69523281,27200637,24786320,30381875,22870492,19200050,0
후암로28길,43016773,45180634,43888174,29291783,28214804,50106299,66320159,54659223,0
