,Unnamed: 0,매출액합계,자연뺀공원수,자연뺀공원면적,구면적
0,강남구,-0.207761388,142,5304.7,39.5
1,강동구,-0.024124396,115,2827.5,24.59
2,강북구,1.353997914,62,2287.4,23.6
3,강서구,0.111984577,158,3285.9,41.44
4,관악구,0.131941224,98,10970.4,29.57
5,광진구,-0.084862215,44,2916.4,17.06
6,구로구,-0.038557074,64,3014.4,20.12
7,금천구,0.040453404,47,2042.2,13.02
8,노원구,-0.284023695,128,13848.1,35.44
9,도봉구,0.12198466,50,1163.5,20.65
10,동대문구,0.002456311,79,1033,14.22
11,동작구,-0.200020627,63,4390.2,16.35
12,마포구,-0.373139435,98,3126.9,23.85
13,서대문구,0.104755852,77,4904.8,17.63
14,서초구,0.012098291,151,15274.2,46.98
15,성동구,0.447044048,64,1257.1,16.86
16,성북구,-0.019489031,80,4407,24.58
17,송파구,0.016094849,156,2037.6,33.87
18,양천구,0.886890363,103,2489.5,17.41
19,영등포구,0.236630938,74,705.6,24.55
20,용산구,0.010340461,71,763.1,21.87
21,은평구,-0.041805439,97,6223.4,29.71
22,종로구,-0.12112783,69,6433,23.91
23,중구,-0.263686369,59,3082.7,9.96
24,중랑구,0.251152784,64,5022.6,18.5
